date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2022-05-26,9359.0,9365.0,162425.0
2022-05-25,9287.0,9315.0,168150.0
2022-05-24,9460.5,9437.0,170650.0
2022-05-23,9500.5,9485.0,171075.0
2022-05-20,9477.0,9461.0,174600.0
2022-05-19,9287.0,9278.0,178550.0
2022-05-18,9264.5,9262.0,180925.0
2022-05-17,9396.0,9381.0,176575.0
2022-05-16,9270.0,9227.0,176550.0
2022-05-13,9064.0,9060.0,177000.0
2022-05-12,9018.5,9005.0,176875.0
2022-05-11,9367.0,9356.0,175875.0
2022-05-10,9350.0,9341.0,167825.0
2022-05-09,9160.0,9162.0,169175.0
2022-05-06,9428.0,9425.0,170025.0
2022-05-05,9541.0,9541.0,168800.0
2022-05-04,9474.0,9481.0,154475.0
2022-05-03,9511.0,9525.0,156225.0
2022-04-29,9820.5,9822.0,156050.0
2022-04-28,9812.0,9805.0,150850.0
2022-04-27,9910.0,9895.0,148500.0
2022-04-26,9912.5,9918.5,135175.0
2022-04-25,9919.0,9915.0,137275.0
2022-04-22,10230.5,10235.0,137775.0
2022-04-21,10268.0,10282.0,130500.0
2022-04-20,10215.0,10250.0,128775.0
2022-04-19,10381.0,10391.5,118825.0
2022-04-14,10277.0,10310.0,110675.0
2022-04-13,10290.5,10306.0,107000.0
2022-04-12,10201.0,10226.0,104350.0
2022-04-11,10235.5,10254.0,105600.0
2022-04-08,10390.0,10380.0,103775.0
2022-04-07,10292.0,10301.0,101275.0
2022-04-06,10350.5,10373.0,94925.0
2022-04-05,10426.0,10450.0,95975.0
2022-04-04,10301.5,10324.0,94800.0
2022-04-01,10247.0,10260.0,93975.0
2022-03-31,10337.0,10335.0,91400.0
2022-03-30,10390.5,10392.0,87925.0
2022-03-29,10350.0,10356.0,81500.0
2022-03-28,10227.0,10230.0,80550.0
2022-03-25,10280.0,10310.0,80600.0
2022-03-24,10421.0,10435.0,80675.0
2022-03-23,10311.0,10317.0,79975.0
2022-03-22,10342.0,10355.0,80100.0
2022-03-21,10173.0,10191.0,80150.0
2022-03-18,10249.0,10240.0,79500.0
2022-03-17,10166.0,10171.0,77600.0
2022-03-16,10100.5,10121.0,77475.0
2022-03-15,9826.0,9865.0,77525.0
2022-03-14,9880.0,9925.0,78000.0
2022-03-11,10145.0,10166.0,74200.0
2022-03-10,10144.0,10172.0,71900.0
2022-03-09,10052.0,10070.0,71875.0
2022-03-08,10171.0,10250.5,69600.0
2022-03-07,10730.0,10720.0,70250.0
2022-03-04,10466.0,10440.0,69825.0
2022-03-03,10470.0,10420.0,71375.0
2022-03-02,10257.5,10220.5,72075.0
2022-03-01,9976.0,9948.0,72875.0
2022-02-28,9974.0,9945.0,73025.0
2022-02-25,9920.0,9862.0,74875.0
2022-02-24,9983.0,9935.0,74750.0
2022-02-23,10005.0,9965.0,74325.0
2022-02-22,10020.0,9951.0,74475.0
2022-02-21,9960.0,9910.0,74375.0
2022-02-18,10015.0,9975.0,74075.0
2022-02-17,10010.0,9900.0,74275.0
2022-02-16,10045.5,10010.0,75275.0
2022-02-15,10020.0,9960.0,70125.0
2022-02-14,9882.0,9840.0,72225.0
2022-02-11,10040.0,10000.0,74100.0
2022-02-10,10220.5,10181.0,76325.0
2022-02-09,9881.0,9841.0,77325.0
2022-02-08,9760.0,9718.0,79925.0
2022-02-07,9850.0,9815.0,80025.0
2022-02-04,9875.0,9835.0,82225.0
2022-02-03,9785.0,9755.0,82400.0
2022-02-02,9880.0,9845.0,84875.0
2022-02-01,9701.0,9661.0,86500.0
2022-01-31,9620.0,9539.0,87650.0
2022-01-28,9678.0,9622.0,90125.0
2022-01-27,9872.0,9835.0,91350.0
2022-01-26,9965.0,9926.5,93250.0
2022-01-25,9744.0,9710.0,96675.0
2022-01-24,9800.0,9775.0,97575.0
2022-01-21,9970.0,9922.0,99775.0
