,date,close,volume
710,2020-10-19,3.086,53.293
711,2020-10-16,3.0675,49.044
712,2020-10-15,3.0855,66.455
713,2020-10-14,3.0505,43.831
714,2020-10-13,3.0445,59.663
715,2020-10-12,3.064,49.826
716,2020-10-09,3.0825,76.345
717,2020-10-08,3.042,59.381
718,2020-10-07,3.033,86.552
719,2020-10-06,2.9635,44.52
720,2020-10-05,2.963,55.394
721,2020-10-02,2.9775,110.753
722,2020-10-01,2.8655,115.232
723,2020-09-30,3.0325,79.663
724,2020-09-29,2.996,66.784
725,2020-09-28,2.99,61.628
726,2020-09-25,2.971,69.544
727,2020-09-24,2.968,116.801
728,2020-09-23,2.993,113.117
729,2020-09-22,3.061,74.436
730,2020-09-21,3.032,102.106
731,2020-09-18,3.116,85.758
732,2020-09-17,3.071,75.813
733,2020-09-16,3.061,49.151
734,2020-09-15,3.063,59.886
735,2020-09-14,3.068,53.068
736,2020-09-11,3.0395,69.271
737,2020-09-10,2.9985,82.191
738,2020-09-09,3.0515,59.165
739,2020-09-08,3.025,119.746
740,2020-09-04,3.062,84.919
741,2020-09-03,2.975,77.463
742,2020-09-02,3.0205,60.234
743,2020-09-01,3.0285,77.592
744,2020-08-31,3.0615,44.074
745,2020-08-28,3.0195,64.205
746,2020-08-27,2.9905,55.443
747,2020-08-26,2.9815,40.947
748,2020-08-25,2.9535,28.745
749,2020-08-24,2.9455,37.926
750,2020-08-21,2.934,35.455
751,2020-08-20,2.9915,34.847
752,2020-08-19,3.038,39.59
753,2020-08-18,2.9915,34.556
754,2020-08-17,2.9225,17.734
755,2020-08-14,2.882,19.952
756,2020-08-13,2.832,33.189
757,2020-08-12,2.912,26.549
758,2020-08-11,2.8755,72.402
759,2020-08-10,2.8615,103.196
760,2020-08-07,2.7925,126.611
761,2020-08-06,2.9105,64.061
762,2020-08-05,2.917,78.064
763,2020-08-04,2.8945,59.546
764,2020-08-03,2.912,68.247
765,2020-07-31,2.868,76.943
766,2020-07-30,2.914,71.781
767,2020-07-29,2.919,54.905
768,2020-07-28,2.9175,69.289
769,2020-07-27,2.8975,58.827
770,2020-07-24,2.8925,78.017
771,2020-07-23,2.9385,54.639
772,2020-07-22,2.9245,71.903
773,2020-07-21,2.958,50.656
774,2020-07-20,2.9155,58.196
775,2020-07-17,2.9045,48.953
776,2020-07-16,2.9015,69.395
777,2020-07-15,2.885,85.728
778,2020-07-14,2.9325,81.81
779,2020-07-13,2.955,103.562
780,2020-07-10,2.8975,80.638
781,2020-07-09,2.8385,77.506
782,2020-07-08,2.824,58.159
783,2020-07-07,2.797,60.999
784,2020-07-06,2.7745,57.155
785,2020-07-02,2.7485,65.246
